RegionID,SizeRank,RegionName,RegionType,StateName,Date,MarketHeatIndex,ZHVI,SaleToListRatio,Year
394913,1,"New York, NY",msa,NY,2018-03-31,55.0,478240.0410598256,0.9758580362420164,2018
753899,2,"Los Angeles, CA",msa,CA,2018-03-31,67.0,626663.2340772805,0.9987458681021648,2018
394463,3,"Chicago, IL",msa,IL,2018-03-31,51.0,235230.901438812,0.9688519294506368,2018
394514,4,"Dallas, TX",msa,TX,2018-03-31,59.0,249344.3299794949,0.9871748783388008,2018
394692,5,"Houston, TX",msa,TX,2018-03-31,51.0,214981.05636149933,0.9687136819013754,2018
395209,6,"Washington, DC",msa,VA,2018-03-31,58.0,416764.0744006357,0.9894871965554736,2018
394974,7,"Philadelphia, PA",msa,PA,2018-03-31,43.0,239608.89223539663,0.9723171301841216,2018
394856,8,"Miami, FL",msa,FL,2018-03-31,39.0,281886.7429652632,0.9565802515294904,2018
394347,9,"Atlanta, GA",msa,GA,2018-03-31,57.0,227213.20471926703,0.9771140610527772,2018
394404,10,"Boston, MA",msa,MA,2018-03-31,77.0,478979.34017279727,0.9924315904215336,2018
394976,11,"Phoenix, AZ",msa,AZ,2018-03-31,57.0,265504.85562787467,0.980290384699834,2018
395057,12,"San Francisco, CA",msa,CA,2018-03-31,96.0,916525.1926286026,1.0654372112629569,2018
395025,13,"Riverside, CA",msa,CA,2018-03-31,61.0,362219.5575355643,0.9890850363921168,2018
394532,14,"Detroit, MI",msa,MI,2018-03-31,58.0,164914.5624337732,0.9703568166040474,2018
395078,15,"Seattle, WA",msa,WA,2018-03-31,92.0,494566.3829973407,1.0287995016678455,2018
394865,16,"Minneapolis, MN",msa,MN,2018-03-31,70.0,276762.9111143117,0.9967188634295192,2018
395056,17,"San Diego, CA",msa,CA,2018-03-31,62.0,590985.0965348034,0.9865215383592332,2018
395148,18,"Tampa, FL",msa,FL,2018-03-31,49.0,214083.66044840412,0.9702392994740208,2018
394530,19,"Denver, CO",msa,CO,2018-03-31,72.0,411196.7645478587,1.0020650424096995,2018
394358,20,"Baltimore, MD",msa,MD,2018-03-31,53.0,288497.55020140955,0.9792999226703736,2018
395121,21,"St. Louis, MO",msa,MO,2018-03-31,46.0,175856.84463214353,0.9697252909391996,2018
394943,22,"Orlando, FL",msa,FL,2018-03-31,52.0,235074.2625304889,0.9743324714538244,2018
394458,23,"Charlotte, NC",msa,NC,2018-03-31,57.0,221895.2266424676,0.97999171187228,2018
395055,24,"San Antonio, TX",msa,TX,2018-03-31,52.0,201933.0323353949,0.9790096399736112,2018
394998,25,"Portland, OR",msa,OR,2018-03-31,70.0,401930.60470963,0.9971287060358756,2018
395045,26,"Sacramento, CA",msa,CA,2018-03-31,62.0,416945.9137268709,0.9950234542533986,2018
394982,27,"Pittsburgh, PA",msa,PA,2018-03-31,33.0,159593.2349024914,0.954289426009106,2018
394466,28,"Cincinnati, OH",msa,OH,2018-03-31,8.0,179476.05424350835,0.9695280343889852,2018
394355,29,"Austin, TX",msa,TX,2018-03-31,59.0,313864.45296407654,0.9839545038664456,2018
394775,30,"Las Vegas, NV",msa,NV,2018-03-31,60.0,263911.6364907794,0.9845763816959232,2018
394735,31,"Kansas City, MO",msa,MO,2018-03-31,57.0,195580.2272869508,0.9823958788196366,2018
394492,32,"Columbus, OH",msa,OH,2018-03-31,65.0,192285.82469212232,0.9933646307784116,2018
394705,34,"Indianapolis, IN",msa,IN,2018-03-31,52.0,167819.31827311913,0.9699044379928607,2018
394475,35,"Cleveland, OH",msa,OH,2018-03-31,41.0,146309.39528151628,0.9612067770274116,2018
395059,36,"San Jose, CA",msa,CA,2018-03-31,92.0,1068221.8785511125,1.0999274767980427,2018
394902,37,"Nashville, TN",msa,TN,2018-03-31,63.0,282010.033670613,0.9825466413779252,2018
395194,38,"Virginia Beach, VA",msa,VA,2018-03-31,50.0,240245.32697627167,0.9762457191608797,2018
395005,39,"Providence, RI",msa,RI,2018-03-31,58.0,299258.10771740245,0.9780608551536062,2018
394714,40,"Jacksonville, FL",msa,FL,2018-03-31,47.0,215307.5021909133,0.9692156085976776,2018
394935,42,"Oklahoma City, OK",msa,OK,2018-03-31,50.0,157621.05918244226,0.9746982200115148,2018
395012,43,"Raleigh, NC",msa,NC,2018-03-31,61.0,272951.7107876889,0.9910972054278782,2018
394849,44,"Memphis, TN",msa,TN,2018-03-31,54.0,147388.83273953575,0.9650071013921852,2018
395022,45,"Richmond, VA",msa,VA,2018-03-31,58.0,240431.9856699913,0.9854497205098206,2018
394807,46,"Louisville, KY",msa,KY,2018-03-31,51.0,174305.56712244102,0.9748078272845916,2018
394910,47,"New Orleans, LA",msa,LA,2018-03-31,45.0,231200.53509427703,0.9664536835671488,2018
395053,48,"Salt Lake City, UT",msa,UT,2018-03-31,74.0,332076.48559986934,0.9938476910466576,2018
394669,49,"Hartford, CT",msa,CT,2018-03-31,52.0,231810.5013882306,0.9715316505434692,2018
394425,50,"Buffalo, NY",msa,NY,2018-03-31,76.0,161898.98172822714,0.9806702299914596,2018
394388,51,"Birmingham, AL",msa,AL,2018-03-31,47.0,168046.53635176888,0.9711779441221956,2018
395031,52,"Rochester, NY",msa,NY,2018-03-31,54.0,153481.5740777262,0.973879046151601,2018
394640,53,"Grand Rapids, MI",msa,MI,2018-03-31,62.0,201996.0160394572,0.9871630256166808,2018
395167,54,"Tucson, AZ",msa,AZ,2018-03-31,55.0,207227.21563597012,0.9789654527642992,2018
395169,56,"Tulsa, OK",msa,OK,2018-03-31,46.0,149368.0533785565,0.9729881537025656,2018
394619,57,"Fresno, CA",msa,CA,2018-03-31,58.0,254224.26384702677,0.9927735213247252,2018
395238,58,"Worcester, MA",msa,MA,2018-03-31,63.0,278476.2239219374,0.9807150057838686,2018
394938,59,"Omaha, NE",msa,NE,2018-03-31,52.0,187196.091889519,0.9851888148786572,2018
394415,60,"Bridgeport, CT",msa,CT,2018-03-31,45.0,423723.6240677543,0.9658097384034164,2018
394653,61,"Greenville, SC",msa,SC,2018-03-31,49.0,185582.75496658275,0.9753275388710714,2018
394312,62,"Albuquerque, NM",msa,NM,2018-03-31,55.0,195060.0962190352,0.976912429797484,2018
394357,63,"Bakersfield, CA",msa,CA,2018-03-31,54.0,215534.5618907902,0.9831313452536462,2018
394308,64,"Albany, NY",msa,NY,2018-03-31,49.0,225940.06082336957,0.9761893925474427,2018
394753,65,"Knoxville, TN",msa,TN,2018-03-31,49.0,181647.689050706,0.9701045413165648,2018
394908,68,"New Haven, CT",msa,CT,2018-03-31,47.0,225198.65112240703,0.9603831488300556,2018
